12;1234;11173110;Alix Spurden;1
10;789;290904510;Chris Cerro;1
20;678;027400136;Birdie Upstell;0
40;147;789789988;Esteban;0
50;65;982165984;Maria;1
160;351;604490121;Valeria;0
30;965;651865648;Raul;1
60;696;118700354;Jesus;0
70;69;6665959;Judas;0
130;765;22925941;Jose;0
150;54;77777;Pedro;1
170;271;44444;Sual;0
80;963;111111;Salamon;0
140;357;222222;Lucas;0
90;159;333333;Pepe;1
100;741;555555;Bianca;0
110;365;999999;Keilor;0
140;357;12354;Sherry;1
120;132;66060;April;0
456;96;1212785;Carlos;1
